segreg flgctrl inout string break cond shftrot decimal binary conver stack control branch bit logical arith datamov
0 0 0 1 0 0 0 0 0 0 11 3 1 0 3 2 16
0 0 0 1 0 0 0 0 0 0 7 1 1 0 1 3 11
0 0 0 1 0 0 0 0 0 0 4 0 2 0 0 2 4
0 0 0 1 0 0 0 0 0 0 10 0 1 0 4 11 34
0 0 0 1 0 0 0 0 0 0 5 1 1 0 2 8 16
0 0 0 1 0 0 0 0 0 0 16 10 2 0 0 3 36
0 0 0 1 0 0 0 0 0 0 4 0 3 0 13 2 13
0 0 0 1 0 0 2 0 0 0 17 1 1 0 6 18 41
0 0 0 1 0 0 0 0 0 0 15 0 9 0 8 7 30
0 0 0 1 0 0 0 0 0 0 29 0 1 0 8 6 69
0 0 0 1 0 0 0 0 0 0 4 0 1 0 2 4 20
0 0 0 1 0 0 0 0 0 0 6 0 2 0 1 4 11
0 0 0 1 0 0 0 0 0 0 4 1 1 0 7 5 11
0 0 0 1 0 0 0 0 0 0 161 12 1 0 24 134 435
0 0 0 1 0 0 0 0 0 0 305 12 1 0 168 254 819
0 0 0 1 0 0 0 0 0 0 161 12 1 0 24 134 435
0 0 0 1 0 0 0 0 0 0 9 0 1 0 2 9 17
0 0 0 1 0 0 1 0 0 0 11 0 1 0 4 11 24
0 0 0 1 0 0 0 0 0 0 6 0 1 0 3 3 18
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 3 20
0 0 0 1 0 0 0 0 0 0 653 162 1 0 991 291 1518
0 0 0 1 0 0 0 0 0 0 18 0 10 0 9 13 149
0 0 0 1 0 0 0 0 0 0 5 1 1 0 0 2 4
0 0 0 1 0 0 0 0 0 0 653 162 1 0 991 291 1518
0 0 0 1 0 0 0 0 0 0 653 162 1 0 991 291 1518
0 0 0 1 0 0 0 0 0 0 4 0 13 0 0 2 4
0 0 0 1 0 0 0 0 0 0 6 1 1 0 0 2 7
0 0 0 0 0 0 0 0 0 0 975 20 282 0 1320 1624 5780
0 0 0 0 0 0 0 0 0 0 826 19 220 0 1595 1411 4969
0 0 0 0 0 0 0 0 0 0 830 19 220 0 1603 1415 4993
0 0 0 1 0 0 0 0 0 0 9 0 1 0 2 7 37
0 0 0 0 0 0 0 0 0 0 0 0 195 0 196 2938 6072
0 0 0 1 0 0 0 0 0 0 6 2 1 0 1 4 12
0 0 0 1 0 0 0 0 0 0 5 0 1 0 2 2 11
0 0 0 1 0 0 0 0 0 0 4 0 2 0 0 2 5
0 0 0 1 0 0 0 0 0 0 9 2 1 0 0 3 9
0 0 0 1 0 0 0 0 0 0 28 0 1 0 88 71 8365
0 0 0 1 0 0 0 0 0 0 6 0 5 0 4 6 32
0 0 0 1 0 0 0 0 0 0 8 0 1 0 1 4 14
0 0 0 1 0 0 0 0 0 0 5 1 5 0 3 19 54
0 0 0 1 0 0 0 0 0 0 5 1 2 0 0 3 10
0 0 0 1 0 0 0 0 0 0 6 0 1 0 3 5 10
0 0 0 1 0 0 0 0 0 0 5 1 22 0 12 38 61
0 0 0 1 0 0 0 0 0 0 7 0 1 0 2 8 6
0 0 0 1 0 0 0 0 0 0 4 0 2 0 2 3 7
0 0 0 1 0 0 0 0 0 0 6 0 1 0 0 3 6
0 0 0 1 0 0 0 0 0 0 5 1 8 0 0 9 16
0 0 0 1 0 0 0 0 0 0 6 1 4 0 8 6 65
0 0 0 1 0 0 0 0 0 0 13 0 4 0 13 9 113
0 0 0 1 0 0 0 0 0 0 9 0 1 0 0 4 14
