control branch bit logical arith datamov
0 2 2 1 0 56 
1 3 0 1 0 38 
0 3 0 0 0 32 
0 9 69 1 9 214 
0 4 0 0 4 44 
0 11 68 11 9 176 
0 5 28 0 7 51 
0 3 0 2 0 36 
0 27 10 0 80 534 
0 39 1 34 234 627 
0 2 0 0 384 398 
0 21 1 1 51 238 
0 3 0 3 0 38 
0 12 34 3 13 232 
0 3 0 0 0 44 
0 10 3 34 24 411 
4 13 2 1 10 142 
0 3 0 0 0 28 
0 4 1 1 0 42 
0 2 2 0 6 31 
0 6 2 4 0 77 
0 4 2 0 13 62 
0 80 0 11 100 733 
0 80 0 3 96 726 
0 3 0 0 0 22 
1 65 0 33 92 1056 
0 9 0 2 65 169 
0 11 5 7 64 95 
0 13 10 29 0 400 
0 4 2 1 16 146 
0 6 2 8 16 123 
0 4 0 0 0 50 
0 1 0 0 0 0 
0 3 1 3 94 47 
0 8 0 6 36 158 
0 4 3 0 1 57 
0 7 5 3 0 156 
0 18 0 12 8 219 
0 9 4 2 0 144 
0 1 0 0 0 0 
0 37 4 7 303 99 
0 53 1 33 0 641 
0 1 0 2 12 42 
0 20 1 19 0 364 
0 4 13 2 8 81 
0 10 0 12 0 132 
0 2 0 0 0 12 
3 6 0 1 26 147 
0 1 0 1 2 14 
0 4 2 5 38 206 
0 1 0 0 0 6 
0 2 0 1 8 39 
0 9 7 1 0 169 
0 2 0 3 0 47 
0 1 0 1 2 26 
0 446 53 539 4114 3944 
0 1 8 2 46 205 
3 6 0 0 6 52 
3 6 6 0 30 115 
1 399 381 147 2630 6580 
0 0 1 665 0 5340 
0 363 9 50 148 1339 
0 327 40 54 248 2457 
0 2 0 1 0 14 
0 4 0 1 2 38 
0 1 0 0 2 22 
0 1 2 0 0 100 
0 2 0 1 0 24 
0 1 0 4 2 44 
0 0 0 0 0 0 
0 52 10 16 208 522 
0 0 0 0 0 0 
0 2 0 1 2 35 
0 39 3 17 305 33 
0 1 0 0 0 4 
0 6 0 0 0 84 
6 42 0 0 0 214 
0 104 22 42 120 851 
1 3 1 5 0 36 
0 6 0 6 0 61 
0 1 4 6 0 48 
0 10 1 2 6 106 
0 1 0 0 0 18 
0 5 0 0 27 86 
0 1 0 0 0 55 
0 0 0 0 0 0 
0 5 0 1 0 21 
0 2 1 3 6 39 
0 102 5 0 607 1646 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 37 8 25 181 344 
0 1 20 5 4 19 
0 3 4 0 9 72 
0 1 0 0 0 7 
0 40 6 11 232 39 
0 100 24 150 60 3148 
0 0 0 0 0 0 
0 0 0 0 0 4 
0 1 1 0 0 56 
0 2 2 1 11 83 
0 1 0 2 2 31 
0 1 2 0 0 53 
0 11 6 4 16 160 
0 9 0 0 6 77 
0 5 5 1 2 76 
0 0 0 0 0 0 
0 1 0 1 0 14 
0 13 7 11 57 61 
0 3 0 0 0 32 
0 2 0 0 0 11 
0 1 2 0 0 40 
0 10 2 4 0 86 
0 2 0 1 4 32 
0 3 2 0 5 120 
0 3 0 1 0 36 
0 0 1 0 0 24 
0 1 0 1 0 14 
0 2 0 2 2 32 
0 4 4 2 0 35 
0 26 6 6 10 140 
0 12 0 0 0 192 
0 4 0 0 4 76 
0 1 2 25 325 372 
0 2 0 2 0 14 
0 1232 161 387 5119 1090 
0 82 41 33 301 139 
0 5 0 2 12 100 
0 3 38 1 13 66 
0 1 0 0 0 12 
0 14 2 5 28 69 
0 412 80 160 4320 4124 
0 0 0 0 0 0 
0 4 0 1 0 28 
0 16 37 22 41 199 
0 248 0 64 2400 3057 
0 0 0 0 0 0 
0 10 2 4 16 74 
0 3 0 0 0 20 
0 2 0 3 0 20 
0 1 2 2 0 26 
0 1 0 2 0 18 
0 5 1 4 10 30 
0 1 0 1 0 20 
0 501 125 425 3025 3725 
0 4 0 0 4 56 
